Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-52-08,913.800,17.77
2025-04-27_02-52-09,913.800,-6.91
2025-04-27_02-52-09,913.800,22.29
2025-04-27_02-52-09,913.800,20.65
2025-04-27_02-52-10,913.800,24.19
2025-04-27_02-52-10,913.800,29.91
2025-04-27_02-52-11,913.800,19.38
2025-04-27_02-52-11,913.800,22.85
2025-04-27_02-52-11,913.800,19.20
2025-04-27_02-52-12,913.800,17.82
2025-04-27_02-52-12,913.800,21.85
2025-04-27_02-52-13,913.800,21.34
2025-04-27_02-52-13,913.800,17.49
2025-04-27_02-52-13,913.800,15.77
2025-04-27_02-52-14,913.800,13.43
2025-04-27_02-52-14,913.800,25.00
2025-04-27_02-52-14,913.800,28.44
2025-04-27_02-52-15,913.800,22.72
2025-04-27_02-52-15,913.800,23.31
2025-04-27_02-52-16,913.800,12.84
2025-04-27_02-52-16,913.800,23.57
2025-04-27_02-52-16,913.800,30.54
2025-04-27_02-52-17,913.800,22.75
2025-04-27_02-52-17,913.800,-17.06
2025-04-27_02-52-18,913.800,18.48
2025-04-27_02-52-18,913.800,29.30
2025-04-27_02-52-18,913.800,16.02
2025-04-27_02-52-19,913.800,19.22
2025-04-27_02-52-19,913.800,19.28
2025-04-27_02-52-19,913.800,19.55
2025-04-27_02-52-20,913.800,12.60
2025-04-27_02-52-20,913.800,25.23
2025-04-27_02-52-21,913.800,23.12
2025-04-27_02-52-21,913.800,20.49
2025-04-27_02-52-21,913.800,27.18
2025-04-27_02-52-22,913.800,18.46
2025-04-27_02-52-22,913.800,20.41
2025-04-27_02-52-23,913.800,-2.00
2025-04-27_02-52-23,913.800,14.07
2025-04-27_02-52-23,913.800,24.59
2025-04-27_02-52-24,913.800,19.23
2025-04-27_02-52-24,913.800,22.55
2025-04-27_02-52-25,913.800,18.31
2025-04-27_02-52-25,913.800,15.81
2025-04-27_02-52-35,913.800,17.60
2025-04-27_02-52-35,913.800,21.50
2025-04-27_02-52-36,913.800,19.07
2025-04-27_02-52-36,913.800,20.47
2025-04-27_02-52-37,913.800,30.79
2025-04-27_02-52-37,913.800,-11.14
2025-04-27_02-52-37,913.800,9.74
2025-04-27_02-52-38,913.800,25.68
2025-04-27_02-52-38,913.800,26.85
2025-04-27_02-52-39,913.800,21.72
2025-04-27_02-52-39,913.800,29.93
2025-04-27_02-52-39,913.800,28.66
2025-04-27_02-52-40,913.800,16.26
